date,time,place,name,url,confirmed
2025-12-07,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2025-10-10,,Žiar nad Hronom,,,TRUE
2025-10-03,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2025-09-06,,Zichovec,Skotské horalské hry,,TRUE
2025-07-04,,Kostelík,Skotsko v Kostelíku,,TRUE
2025-06-21,,Smiřice,International food and music festival Smiřice,www.mestosmirice.cz,TRUE
2025-06-19,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2025-05-21,20:00,Praha,Malostranská beseda,https://www.malostranska-beseda.cz/club/,TRUE
2025-05-17,,Skryje,Májový jarmark ve Skryjích,www.skryje.cz,TRUE
2025-05-03,,Nasavrky,Beltine,,TRUE
2025-04-26,18:00,Pardubice,Festival menšinových žánrů,doli.wz.cz,TRUE
2025-04-17,15:00,Jablonec n. N.,Velikonoční slavnosti,www.kulturajablonec.cz,TRUE
2025-03-25,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2025-03-22,17:00,Praha,"Žižkovská noc, Žižkovšiška",,TRUE
2025-03-16,13:00,Praha,Three fiddles,,TRUE
2025-03-16,18:00,Beroun,"Kotelna, Sv. Patrik",,TRUE
2025-03-15,19:00,Písek,"Sv. Patrik, Divadlo Fráni Šrámka",,TRUE
2025-03-05,20:00,Praha,Boothill bar,https://boothill.cz/,TRUE
2025-01-21,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2024-12-11,,Praha,"Klementinum, soukromá akce",,TRUE
2024-12-06,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2024-10-10,19:30,Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2024-10-09,20:00,Olomouc,Rozhlasové studio,https://www.mujrozhlas.cz/koncertni-streda,TRUE
2024-10-08,20:00,Praha,klub Vagon s kapelou Kalsarikännit,http://www.vagon.cz/,TRUE
2024-09-21,20:00,Týnec nad Sázavou,Keltský den na hradě,https://www.hradtynec.cz/kalendar-akci/kalendar-akci-1788/491955-keltsky-den/,TRUE
2024-09-09,20:00,Praha,Balbínka,http://www.balbinka.cz/,TRUE
2024-09-07,14:00,Vsetín,Valašské záření,https://www.dkvsetin.cz/page/13159/valasske-zareni,TRUE
2024-09-07,20:00,Velký Týnec,Týnecká folková zahrada,https://www.mestotynec.cz/kalendar-akci/kalendar-akci/219753-keltsky-den/,TRUE
2024-09-06,17:00,Praha,Nomad Beer Festival - Holešovická tržnice,https://www.nomadbeerfestival.cz/,TRUE
2024-08-24,14:15,Zámek Sychrov,Skotské hry,https://www.skotskehry.cz/,TRUE
2024-08-24,18:00,Jaroměř,Festival na hradbách,https://www.facebook.com/profile.php?id=100093045558561,TRUE
2024-08-17,20:00,Potočná (česká kanada),Stodola u Majdy,https://www.facebook.com/groups/1471258913068754/,TRUE
2024-07-27,21:30,Rokytnice v Orl.horách,Horalské hry v zámeckém parku,https://www.facebook.com/Clanorlickychhoralu,TRUE
2024-07-13,17:00,Budyně nad Ohří,Keltský kruh,https://www.keltsky-kruh.cz/,TRUE
2024-06-29,18:30,Brno,Stará radnice (soukromá akce),,TRUE
